year,born,rates
2019,753000,11.2
2018,758590,11.3
2017,769553,11.5
2016,783640,11.8
2015,798948,12
2014,818565,12.4
2014,811384,12.3
2013,811510,12.3
2012,821047,12.6
2011,823394,12.7
2010,832799,12.9
2009,824641,12.8
2008,828404,12.9
2007,818705,12.8
2006,829352,13.1
2005,806822,12.8
2004,799361,12.8
2003,793044,12.8
2002,792745,12.9
2001,803234,13.1
2000,807405,13.3
1999,775796,12.9
1998,767906,12.8
1997,757384,12.7
1996,764028,12.8
1995,759058,12.8
1994,740774,12.5
1993,741306,12.6
1992,774755,13.2
1991,790078,13.5
1990,793071,13.6
1989,796101,13.8
1988,800560,13.9
1987,795790,13.9
1986,805543,14.2
1985,796138,14.1
1984,787429,14
1983,775441,13.8
1982,823260,14.8
